fecha_l7,fecha_l89,dias_entre,lst_l7,lst_l89,diff_lst
2013-10-06,2013-10-05,0,20.06,13.152,-6.908
2013-11-14,2013-11-15,0,19.485,21.482,1.996
2013-11-23,2013-11-22,0,26.4,25.016,-1.384
2013-12-16,2013-12-17,0,28.588,26.048,-2.54
2014-01-01,2014-01-02,0,28.359,18.344,-10.015
2014-01-10,2014-01-09,0,30.081,27.005,-3.076
2014-01-26,2014-01-25,0,27.029,23.755,-3.274
2014-02-11,2014-02-10,0,29.025,27.197,-1.829
2014-02-27,2014-02-26,0,26.434,15.394,-11.04
2014-03-22,2014-03-23,0,28.642,10.301,-18.341
2014-05-25,2014-05-26,0,13.145,9.884,-3.261
2014-06-19,2014-06-18,0,18.228,10.824,-7.403
2014-10-25,2014-10-24,0,14.625,23.58,8.955
2015-01-04,2015-01-05,0,29.722,27.545,-2.177
2015-01-13,2015-01-12,0,30.074,24.534,-5.541
2015-01-29,2015-01-28,0,32.932,27.357,-5.575
2015-02-14,2015-02-13,0,32.03,28.526,-3.503
2015-02-21,2015-02-22,0,17.154,21.56,4.406
2015-03-02,2015-03-01,0,26.598,16.375,-10.223
2015-03-09,2015-03-10,0,31.643,29.962,-1.682
2015-03-18,2015-03-17,0,30.738,28.509,-2.229
2015-04-03,2015-04-02,0,18.105,19.68,1.576
2015-04-10,2015-04-11,0,27.863,23.194,-4.669
2015-07-24,2015-07-23,0,16.761,7.44,-9.321
2015-09-01,2015-09-02,0,15.808,10.038,-5.77
2016-01-16,2016-01-15,0,29.487,25.067,-4.419
2016-03-04,2016-03-03,0,29.849,26.257,-3.592
2016-03-20,2016-03-19,0,28.878,23.303,-5.575
2016-03-27,2016-03-28,0,27.894,12.615,-15.279
2016-08-11,2016-08-10,0,20.965,14.331,-6.634
2016-09-28,2016-09-27,0,26.438,21.769,-4.669
2016-10-21,2016-10-22,0,12.731,15.261,2.529
2016-11-06,2016-11-07,0,28.427,23.956,-4.471
2017-01-18,2017-01-17,0,33.373,30.591,-2.782
2017-01-25,2017-01-26,0,32.816,32.286,-0.53
2017-02-19,2017-02-18,0,31.411,19.677,-11.734
2017-03-23,2017-03-22,0,29.165,11.494,-17.671
2017-07-20,2017-07-21,0,18.245,11.713,-6.532
2017-08-30,2017-08-29,0,16.081,2.942,-13.139
2017-09-22,2017-09-23,0,21.553,20.077,-1.477
2017-11-18,2017-11-17,0,24.445,16.997,-7.448
2017-11-25,2017-11-26,0,26.803,24.582,-2.222
2017-12-20,2017-12-19,0,30.594,26.738,-3.856
2018-01-28,2018-01-29,0,30.768,27.709,-3.059
2018-02-06,2018-02-05,0,30.98,20.531,-10.449
2018-02-22,2018-02-21,0,30.748,24.267,-6.481
2018-03-01,2018-03-02,0,22.668,22.114,-0.554
2018-03-10,2018-03-09,0,25.026,21.27,-3.756
2018-04-02,2018-04-03,0,24.841,20.572,-4.269
2018-04-18,2018-04-19,0,23.355,19.636,-3.719
2018-05-20,2018-05-21,0,10.824,7.017,-3.808
2018-09-09,2018-09-10,0,13.073,18.282,5.209
2018-11-05,2018-11-04,0,21.058,17.325,-3.732
2018-11-21,2018-11-20,0,26.198,21.693,-4.505
2018-12-30,2018-12-31,0,28.065,26.715,-1.35
2019-01-15,2019-01-16,0,23.344,18.566,-4.778
2019-03-13,2019-03-12,0,26.691,15.551,-11.139
2019-03-29,2019-03-28,0,28.865,21.724,-7.14
2019-10-23,2019-10-22,0,19.294,13.771,-5.524
2019-12-26,2019-12-25,0,27.005,14.758,-12.247
2020-01-11,2020-01-10,0,28.4,23.136,-5.264
2020-01-27,2020-01-26,0,30.139,28.167,-1.972
2020-02-28,2020-02-27,0,28.936,24.77,-4.167
2020-03-15,2020-03-14,0,27.62,23.58,-4.04
2020-04-16,2020-04-15,0,22.336,12.239,-10.097
2020-05-02,2020-05-01,0,20.036,17.253,-2.782
2020-05-18,2020-05-17,0,21.27,16.915,-4.355
2020-08-22,2020-08-21,0,15.773,9.45,-6.323
2020-09-07,2020-09-06,0,13.012,1.797,-11.215
2020-11-26,2020-11-25,0,23.317,20.255,-3.063
2020-12-12,2020-12-11,0,22.825,24.26,1.436
2021-01-13,2021-01-12,0,25.624,22.404,-3.22
2021-06-22,2021-06-21,0,3.455,5.219,1.764
2021-07-08,2021-07-07,0,15.562,10.701,-4.86
2021-11-29,2021-11-28,0,23.426,19.691,-3.736
2021-12-06,2021-12-06,0,26.639,26.937,0.297
2021-12-15,2021-12-15,0,23.16,23.146,-0.014
2021-12-22,2021-12-22,0,28.772,30.051,1.278
2021-12-31,2021-12-31,0,25.347,21.232,-4.115
2022-01-07,2022-01-07,0,25.898,25.87,-0.027
2022-01-16,2022-01-16,0,24.794,21.321,-3.473
2022-01-23,2022-01-23,0,24.264,24.616,0.352
2022-02-08,2022-02-08,0,27.224,26.349,-0.875
2022-02-17,2022-02-17,0,26.544,24.052,-2.492
2022-03-05,2022-03-04,0,6.617,21.294,14.677
2022-04-06,2022-04-06,0,22.128,19.222,-2.905
2022-08-12,2022-08-12,0,12.055,4.18,-7.875
2022-08-29,2022-08-28,0,15.158,9.43,-5.729
2022-10-14,2022-10-14,0,14.246,16.437,2.191
2022-12-09,2022-12-09,0,27.149,28.83,1.682
2022-12-26,2022-12-26,0,19.619,16.187,-3.432
2023-02-03,2023-02-03,0,27.631,29.863,2.232
2023-12-06,2023-12-05,0,16.713,15.302,-1.412
